Drug,Cell
AZD8055,NCI-H1944
AZD8055,OE33
AZD7762,OPM-2
Topotecan,CAL-33
Epirubicin,TE-4
Dactinomycin_1911,D-502MG
Dinaciclib,PE-CA-PJ15
Sepantronium bromide,NCI-H69
Topotecan,HT-144
Gemcitabine,SK-MES-1
Daporinad,MEL-HO
Sepantronium bromide,D-566MG
Docetaxel_1819,OCUB-M
Sepantronium bromide,OCUB-M
Epirubicin,SW982
SN-38,HARA
SN-38,KMS-11
MG-132,OPM-2
Vinorelbine,TE-12
BI-2536,GAMG
Camptothecin,Detroit562
Vinorelbine,ES-2
AZD8055,OCI-M1
Daporinad,VCaP
Paclitaxel,WIL2-NS
Tanespimycin,L-363
SN-38,PANC-04-03
Entinostat,NCI-H82
Sepantronium bromide,NCI-H211
Vinorelbine,HT-3
OTX015,JVM-3
Romidepsin,EFO-21
Docetaxel_1007,SK-MEL-28
SN-38,Hs-445
Pevonedistat,HSC-39
Vinorelbine,PL-21
AZD7762,KARPAS-45
Paclitaxel,KNS-42
Irinotecan,ES7
SCH772984,NOMO-1
MG-132,SK-MEL-1
Sepantronium bromide,COR-L32
Gemcitabine,NCI-H1105
SCH772984,KMOE-2
MG-132,ES1
Docetaxel_1007,SK-N-SH
Vinorelbine,Ramos-2G6-4C10
Dinaciclib,TE-8
AZD8055,SK-LMS-1
Rapamycin,ES8
BI-2536,RCC-JF
Vinorelbine,MKN1
BI-2536,NCI-H748
Dinaciclib,BHT-101
Dactinomycin_1911,SiHa
Dabrafenib,IGR-37
Selumetinib_1062,CL-11
BI-2536,U-266
Docetaxel_1007,UACC-62
Daporinad,DOHH-2
Paclitaxel,ST486
Telomerase Inhibitor IX,U-118-MG
SN-38,PWR-1E
Vinorelbine,NCI-H748
Romidepsin,A375
Vinorelbine,NB1
Paclitaxel,SKM-1
Camptothecin,COLO-205
Camptothecin,NB10
MG-132,SKG-IIIa
Sepantronium bromide,BE-13
Cytarabine,SW982
Docetaxel_1007,COR-L311
SN-38,LS-513
SN-38,HT-3
Cediranib,OPM-2
Dinaciclib,SK-MEL-5
Gemcitabine,UM-UC-3
Vinorelbine,NCI-H647
Camptothecin,EC-GI-10
Dactinomycin_1911,HuH-7
Docetaxel_1819,RC-K8
Sepantronium bromide,Hs-445
BI-2536,RPMI-8226
AZD5991,CHP-212
Daporinad,PCI-6A
Romidepsin,L-428
SN-38,HCT-116
Paclitaxel,NB69
Sepantronium bromide,SUP-B8
Topotecan,JiyoyeP-2003
Docetaxel_1007,SU-DHL-1
Dactinomycin_1911,NCI-H211
Trametinib,PSN1
MG-132,A375
Paclitaxel,RPMI-8402
Romidepsin,JiyoyeP-2003
Uprosertib_2106,RH-41
Uprosertib_2106,SU-DHL-5
MG-132,HCC-366
BI-2536,KYSE-50
BI-2536,PL-21
Uprosertib_2106,NALM-6
Rapamycin,SBC-5
Topotecan,NB10
Pevonedistat,PCI-15A
AZD2014,ARH-77
Daporinad,SK-MEL-30
Trametinib,OV-7
Paclitaxel,NMC-G1
Daporinad,SUP-T1
OTX015,DOHH-2
Camptothecin,HTC-C3
MG-132,GAK
Sepantronium bromide,NKM-1
JQ1,OCI-M1
Uprosertib_2106,HO-1-u-1
Vinorelbine,769-P
Camptothecin,MDA-MB-231
Docetaxel_1007,GB-1
Pevonedistat,NOMO-1
NU7441,SUP-B8
Epirubicin,BE-13
Dinaciclib,AN3-CA
Telomerase Inhibitor IX,RS4-11
Sepantronium bromide,NCI-H2052
Dactinomycin_1911,Ramos-2G6-4C10
Dinaciclib,ME-1
Rapamycin,NCI-H211
Vinorelbine,COR-L321
MG-132,COLO-205
Romidepsin,AM-38
Dactolisib,UMC-11
Paclitaxel,SK-N-DZ
Rapamycin,UACC-893
Vinorelbine,SBC-5
SB590885,UACC-62
Rapamycin,COR-L279
SN-38,D-423MG
Docetaxel_1007,LS-123
Docetaxel_1007,TGW
Romidepsin,NB13
Paclitaxel,KON
Rapamycin,NCI-H2110
Sepantronium bromide,SAT
Pevonedistat,COLO-824
Docetaxel_1007,Farage
Bleomycin,MOLT-16
Docetaxel_1007,A3-KAW
MG-132,OVISE
Camptothecin,SK-N-FI
Dactinomycin_1911,SIMA
AZD2014,NCI-H2023
SN-38,DOHH-2
Trametinib,LS-513
Romidepsin,NCI-N87
Cytarabine,HSC-39
BI-2536,KY821
ABT737,COR-L311
Telomerase Inhibitor IX,JVM-3
Afatinib,TE-6
Dihydrorotenone,MDA-MB-468
Sepantronium bromide,EC-GI-10
Sepantronium bromide,FTC-133
Tanespimycin,KALS-1
SN-38,RT4
Rapamycin,5637
Gemcitabine,ME-180
Cediranib,CGTH-W-1
Dactinomycin_1911,HO-1-u-1
MG-132,TGBC11TKB
AZD5991,DOHH-2
Dactinomycin_1911,SU-DHL-10
AZD8055,OCUB-M
Docetaxel_1007,RMG-I
Camptothecin,DG-75
Sepantronium bromide,ST486
Cediranib,HSC-39
Sepantronium bromide,TE-12
Epirubicin,IHH-4
Dactolisib,GAMG
Dactolisib,A549
Dinaciclib,GB-1
Sepantronium bromide,HCC1937
Dinaciclib,BL-41
AZD8055,HCT-116
Romidepsin,OCI-AML3
BI-2536,RS4-11
Vinorelbine,IST-MEL1
Buparlisib,RH-41
Docetaxel_1007,BT-483
Epirubicin,MDA-MB-231
Rapamycin,KYSE-450
Sepantronium bromide,KELLY
BI-2536,Detroit562
Dihydrorotenone,SNU-175
Dinaciclib,D-423MG
Paclitaxel,U-2-OS
Dactinomycin_1911,EW-18
SN-38,NCI-H1666
Telomerase Inhibitor IX,JM1
Topotecan,Hs-445
Dinaciclib,SU-DHL-10
BI-2536,A375
JQ1,EVSA-T
MG-132,COLO-783
Gemcitabine,Hs-633T
AZD8055,TK10
Gemcitabine,GAMG
Trametinib,UACC-257
Daporinad,HO-1-u-1
MG-132,COR-L88
SN-38,BB65-RCC
Daporinad,U-2-OS
MG-132,IST-SL2
SN-38,NCI-H2030
Sepantronium bromide,SAS
Epirubicin,MHH-CALL-2
ABT737,KP-N-YN
Topotecan,NB13
Romidepsin,Ca-Ski
Camptothecin,SBC-5
Rapamycin,NCI-H647
Dinaciclib,NU-DUL-1
Ulixertinib_1908,HCC2998
Tanespimycin,SKM-1
Romidepsin,TE-8
MG-132,OV-7
Topotecan,HCC2157
Romidepsin,CCK-81
SN-38,TC-YIK
Sepantronium bromide,ES1
Vinorelbine,A2058
Schweinfurthin A,U251
Dactolisib,JHH-1
Paclitaxel,KARPAS-45
Rapamycin,KU812
Vinorelbine,RL95-2
BMS-536924,OPM-2
Dihydrorotenone,Mo-T
BI-2536,OACp4C
Camptothecin,BB65-RCC
Buparlisib,RPMI-8402
Dactinomycin_1911,PANC-04-03
Gemcitabine,JiyoyeP-2003
JQ1,LC4-1
Gemcitabine,NCI-H929
Sepantronium bromide,NCI-N87
Paclitaxel,OCI-AML3
Rapamycin,CL-11
Vinorelbine,TGBC11TKB
Daporinad,SW1271
Entospletinib,Ramos-2G6-4C10
AT13148,SAS
ABT737,KP-3
LCL161,SK-N-AS
MK-8776,KARPAS-45
Entospletinib,TGW
AZD6738,JHU-022
AZD8055,SIMA
MK-8776,SNB75
N-acetyl cysteine,PL4
5-azacytidine,BE2-M17
PRT062607,GDM-1
alpha-lipoic acid,NMC-G1
Selumetinib_1062,HGC-27
Telomerase Inhibitor IX,MG-63
I-BET-762,SNU-407
Entospletinib,KYAE-1
Sinularin,FTC-133
UNC0379,BL-41
AZD5363,SiHa
Olaparib,NB5
VE821,BPH-1
Entospletinib,KYSE-50
GSK-LSD1,GOTO
NVP-ADW742,WIL2-NS
I-BET-762,Calu-6
BMS-345541,Farage
SCH772984,MN-60
Gallibiscoquinazole,NCI-H2023
Niraparib,SW1710
Selumetinib_1062,NB13
Niraparib,PCI-4B
Telomerase Inhibitor IX,DoTc2-4510
IAP_5620,LS-411N
MK-8776,IHH-4
WEHI-539,SK-MEL-5
Dabrafenib,CRO-AP2
NU7441,KON
Irinotecan,JHU-022
GSK591,ONS-76
Dihydrorotenone,LB996-RCC
LCL161,NCI-H322M
Ulixertinib_1908,KNS-81-FD
PAK_5339,KELLY
SB590885,U251
ML323,COLO-684
BMS-345541,D-283MED
Entospletinib,TUR
Sinularin,DMS-53
Wee1 Inhibitor,VA-ES-BJ
Cisplatin,RC-K8
Cyclophosphamide,SW1710
Bleomycin,Ramos-2G6-4C10
Mycophenolic acid,LC-1-sq
PLX-4720,KMRC-1
ML323,JVM-3
VE821,Hs-445
Mycophenolic acid,KMRC-20
IAP_5620,ESO51
alpha-lipoic acid,WIL2-NS
Bromosporine,NCI-H727
5-azacytidine,SCC90
GSK2578215A,SIMA
JQ1,SNU-175
Fludarabine,KYSE-450
SCH772984,C3A
Bleomycin,SNU-449
MIRA-1,RPMI-8866
AZD5363,CAL-85-1
WEHI-539,HSC-39
AZD6738,PANC-03-27
MK-8776,HCC2157
UNC0379,SK-N-AS
Buparlisib,BB65-RCC
Uprosertib_2106,COLO-205
KU-55933,IST-MEL1
Niraparib,A549
Gallibiscoquinazole,KALS-1
Fludarabine,GB-1
AZD7762,SK-MEL-5
Uprosertib_1553,NMC-G1
XAV939,UACC-893
GW441756,NCI-H211
AZD3759,MOLM-16
AZD8055,Mo-T
Irinotecan,ME-1
Olaparib,RCC-FG2
KU-55933,EKVX
WIKI4,TGW
Telomerase Inhibitor IX,SNB75
Afatinib,SK-MES-1
Lapatinib,HOS
Sinularin,NCI-H2228
Cyclophosphamide,OCI-LY-19
ABT737,NCI-H2029
Lapatinib,CHP-134
PLX-4720,D-502MG
Cyclophosphamide,T-T
GSK591,MEL-HO
GSK-LSD1,DK-MG
UNC0379,RKO
Talazoparib,CAL-72
Wee1 Inhibitor,DMS-79
Uprosertib_1553,EN
GSK-LSD1,DG-75
N-acetyl cysteine,HCC1937
Niraparib,RERF-LC-Sq1
AGI-5198,BE-13
VE821,TE-12
GSK1904529A,SW1271
Dabrafenib,HCC1428
PAK_5339,BFTC-905
AMG-319,D-283MED
Daporinad,NCI-H2444
AZD2014,NCI-H720
Tretinoin,OCI-LY-19
LGK974,KYSE-50
Selumetinib_1736,NCI-H2029
AZD5363,DoTc2-4510
LJI308,SISO
KU-55933,GDM-1
MIRA-1,LB996-RCC
Dinaciclib,NCI-H727
PRT062607,NCI-H2052
LGK974,RCC-JF
Ulixertinib_1908,PANC-04-03
Bleomycin (50 uM),JIMT-1
Irinotecan,NCI-H2347
BI-2536,LS-411N
Irinotecan,FTC-133
PFI-1,BL-41
Fludarabine,HPAC
Epirubicin,SK-MEL-1
UNC0638,NCI-H69
AZD5363,BB65-RCC
Gallibiscoquinazole,KP-3
SB590885,CPC-N
Buparlisib,SU8686
JQ1,KYAE-1
Olaparib,SU-DHL-10
N-acetyl cysteine,SW1271
PRT062607,HCC1569
AZD3759,LU-65
XAV939,SK-GT-4
alpha-lipoic acid,769-P
UNC0638,TC-YIK
Irinotecan,KON
LGK974,SK-MEL-28
AMG-319,YH-13
JQ1,HT-3
BMS-345541,RKO
Cediranib,IA-LM
Fludarabine,TE-8
Pyridostatin,A172
Cediranib,HSC-4
AZD5363,MDA-MB-231
WIKI4,SW1710
SCH772984,SCC-4
Selumetinib_1062,SISO
PLX-4720,KYSE-410
AT13148,AN3-CA
PLX-4720,23132-87
Talazoparib,MDST8
Trametinib,NCI-H211
ZM447439,RMG-I
NVP-ADW742,OCUB-M
Irinotecan,IHH-4
AZD3759,SU-DHL-5
NVP-ADW742,DK-MG
Uprosertib_2106,OE33
Talazoparib,NCI-H716
Pyridostatin,NCI-N87
Uprosertib_1553,D-566MG
PFI-1,D-283MED
LJI308,OCI-M1
MN-64,NCI-H929
GSK1904529A,OCI-M1
Remodelin,GOTO
AMG-319,D-263MG
alpha-lipoic acid,YAPC
IAP_5620,RT4
Buparlisib,KYAE-1
UMI-77,Calu-6
GSK2578215A,KP-N-YN
Entospletinib,SNU-175
WEHI-539,ME-180
LJI308,NCI-H2110
Vismodegib,SKM-1
Gallibiscoquinazole,IGR-37
PRT062607,HCC1428
Bleomycin (50 uM),KY821
ZM447439,SF126
Selumetinib_1062,HCC1937
Docetaxel_1819,C3A
Bromosporine,Ramos-2G6-4C10
UMI-77,IGR-37
BEN,U-698-M
alpha-lipoic acid,SK-N-SH
GW441756,TC-YIK
GSK591,NCI-H1915
CZC24832,no-11
WIKI4,Hs-683
Selumetinib_1736,SK-MEL-2
SB590885,OACp4C
GSK1904529A,DMS-53
I-BET-762,HCT-116
Wnt-C59,HPAC
WEHI-539,RH-41
OTX015,MFM-223
Bromosporine,HDLM-2
Ulixertinib_1908,NCI-H2444
VE821,MDA-MB-361
Sinularin,NCI-H2052
MK-8776,A673
AZD1208,NB69
IAP_5620,U251
Bromosporine,HCC1937
AZD7762,KYSE-410
N-acetyl cysteine,PSN1
UMI-77,CHSA8926
Sorafenib,PWR-1E
Selumetinib_1062,NCI-H2444
Buparlisib,NCI-H2066
Mycophenolic acid,UACC-257
NVP-ADW742,ALL-PO
Axitinib,ML-1
PD0325901,IST-MEL1
Tamoxifen,NCI-H1755
Dihydrorotenone,Detroit562
AZD6738,RCC10RGB
IAP_5620,UACC-257
LGK974,NCI-H2347
Trametinib,FTC-133
GSK1904529A,SW156
Olaparib,CP66-MEL
BI-2536,DBTRG-05MG
AZD7762,OAW-42
Selumetinib_1062,CAL-33
CZC24832,CAL-85-1
NVP-ADW742,SiHa
BEN,TUR
Cediranib,NB10
Lapatinib,CHP-212
SB216763,SK-MEL-2
Uprosertib_1553,DAN-G
JQ1,HuH-7
Cediranib,OVCAR-5
Wee1 Inhibitor,OVISE
BI-2536,DMS-79
Cisplatin,SU-DHL-10
Nilotinib,D-502MG
AT13148,COR-L321
JQ1,MKN1
Sorafenib,BPH-1
UNC0379,JIMT-1
IAP_5620,RH-41
Wee1 Inhibitor,U-266
Talazoparib,ESO51
LJI308,RH-1
Ulixertinib_1908,HO-1-u-1
Bromosporine,TGW
LCL161,PSN1
GSK591,NCI-H1944
IAP_5620,RC-K8
XAV939,HC-1
PFI-1,PCI-6A
Selumetinib_1062,769-P
Nilotinib,UM-UC-3
Axitinib,RCH-ACV
WIKI4,NCI-H2110
Nelarabine,KYSE-450
GSK1904529A,D-502MG
MN-64,EW-16
ZM447439,KNS-42
Selumetinib_1062,FTC-133
alpha-lipoic acid,BV-173
SB216763,ARH-77
LCL161,RCH-ACV
Pyridostatin,MOLT-4
Vismodegib,SU-DHL-5
Mycophenolic acid,PANC-10-05
GSK591,PL4
I-BET-762,RPMI-8226
AGI-5198,PC-3_[JPC-3]
Talazoparib,RCC-JF
Dabrafenib,DG-75
I-BET-762,HGC-27
AGI-5198,MSTO-211H
LJI308,OCUB-M
WIKI4,KP-3
Sinularin,GAK
ML323,CPC-N
CZC24832,SISO
GSK1904529A,RH-1
Docetaxel_1819,HCC1569
AZD6482,HCC2218
MIRA-1,UACC-62
Vismodegib,JHH-1
Talazoparib,TOV-112D
Selumetinib_1062,NCI-H2009
VE821,YH-13
Fludarabine,KELLY
Nilotinib,CCK-81
AZD5991,PCI-4B
ZM447439,NCI-H720
Schweinfurthin A,DAN-G
GSK591,MDA-MB-231
Axitinib,SBC-5
Dactolisib,SW1417
Bromosporine,DMS-53
Buparlisib,HTC-C3
CZC24832,CS1
GW441756,RT4
PLX-4720,KU812
Lapatinib,RCC-MF
AT13148,PANC-08-13
SB590885,SW1417
UMI-77,PL4
Nelarabine,MSTO-211H
GSK1904529A,HT-144
SB216763,BV-173
Sorafenib,CPC-N
ML323,RCH-ACV
Remodelin,RH-41
5-azacytidine,VCaP
Ulixertinib_1908,OCUB-M
JQ1,T-T
LJI308,MN-60
BI-2536,BT-483
Dinaciclib,NMC-G1
PRT062607,MDST8
Sinularin,TGW
Tamoxifen,SUIT-2
SCH772984,SW1088
Uprosertib_1553,WM278
SN-38,IGR-37
Olaparib,COR-L279
Afatinib,COR-L32
AZD1208,HSC-4
Wnt-C59,MOLT-16
LJI308,SW620
Afatinib,ASH-3
ABT737,SK-MEL-3
Wee1 Inhibitor,SCC-15
GSK591,ME-180
Gemcitabine,SW626
Bleomycin (50 uM),KYSE-450
Wnt-C59,NCI-H1869
UNC0638,ME-180
Wee1 Inhibitor,EVSA-T
Bleomycin (50 uM),SAT
Wnt-C59,HCC-44
Nelarabine,NCI-H720
WIKI4,SNB75
Pyridostatin,NCI-H2228
Cediranib,JIMT-1
Cisplatin,OPM-2
WEHI-539,A549
Telomerase Inhibitor IX,PANC-03-27
Talazoparib,DAN-G
Olaparib,SNU-449
Afatinib,FU97
GSK1904529A,SW620
Bleomycin,769-P
Nilotinib,PANC-04-03
AZD6738,CCK-81
AZD3759,NCI-H929
GW441756,HCT-116
Uprosertib_1553,TE-10
AZD5363,SK-MG-1
Selumetinib_1736,MDA-MB-415
Talazoparib,RCC-MF
AZD1208,SK-MEL-2
GW441756,NALM-6
Tanespimycin,NCC021
Wee1 Inhibitor,SK-LMS-1
SB216763,NCI-H2228
AZD8055,UACC-257
Axitinib,SW156
Tamoxifen,NCI-H835
Cytarabine,GB-1
AZD7762,LN-405
ML323,NCI-H2135
AZD6482,D-502MG
CZC24832,VAL
Cediranib,COLO-783
AZD6738,TK10
IAP_5620,JIMT-1
MK-8776,NCI-H524
AZD3759,MKN1
Olaparib,Hs-445
Talazoparib,TE-4
GSK2578215A,IGR-37
Entinostat,5637
MK-8776,SNU-175
AZD6738,COLO-684
Epirubicin,NCI-H2135
Irinotecan,PCI-6A
UNC0638,KYSE-410
Lapatinib,MDA-MB-415
Bleomycin,A253
JQ1,BHY
Cyclophosphamide,ES-2
GSK1904529A,BE-13
Gallibiscoquinazole,TOV-112D
OTX015,HCC-366
Pyridostatin,GOTO
LCL161,NCI-H647
CZC24832,DoTc2-4510
Bromosporine,NCI-H1944
PRT062607,AM-38
Remodelin,L-428
PLX-4720,COR-L88
BMS-536924,NCI-H2444
Selumetinib_1736,AM-38
PRT062607,CHSA8926
Tanespimycin,SW1271
Remodelin,TC-71
SB216763,HT-3
OTX015,ML-1
Entospletinib,MDA-MB-361
WIKI4,KMRC-1
MN-64,KP-3
SB216763,OCI-M1
Gallibiscoquinazole,COLO-684
GSK2578215A,RCH-ACV
GSK269962A,BB65-RCC
Tamoxifen,KYSE-510
LGK974,SCC-15
GSK2578215A,HCC1937
WEHI-539,U-266
IAP_5620,ARH-77
N-acetyl cysteine,NCI-H82
Cyclophosphamide,SKM-1
Gemcitabine,KYSE-450
GSK1904529A,HC-1
alpha-lipoic acid,DMS-53
PRT062607,SAS
Fludarabine,DMS-79
AGI-5198,HO-1-u-1
PD0325901,NCI-H510A
NVP-ADW742,AU565
Sinularin,SK-CO-1
Sorafenib,SK-LU-1
ABT737,DoTc2-4510
N-acetyl cysteine,L-428
Schweinfurthin A,SCC-15
AZD3759,PCI-4B
Pyridostatin,NCI-H1755
Uprosertib_1553,EFO-21
BMS-345541,OVCAR-5
Entospletinib,HT-144
Uprosertib_1553,COLO-684
Trametinib,SW156
Pyridostatin,SU-DHL-1
UNC0379,GDM-1
AT13148,LB373-MEL-D
5-azacytidine,DBTRG-05MG
Talazoparib,SKG-IIIa
GSK269962A,SW620
AZD5363,ME-180
PAK_5339,MS-1
AZD5991,SAS
NVP-ADW742,RH-1
XAV939,D-502MG
Entinostat,DMS-53
Afatinib,BHT-101
Dihydrorotenone,PA-TU-8902
Niraparib,TC-71
Ulixertinib_1908,EFO-21
Schweinfurthin A,SK-MES-1
ML323,EW-1
I-BET-762,NCI-H2135
BMS-536924,HOS
WIKI4,NCI-H69
PD0325901,SNU-449
AMG-319,HT-3
WEHI-539,YAPC
Cediranib,NOMO-1
NVP-ADW742,CHSA8926
Wnt-C59,SW1088
BMS-536924,CGTH-W-1
Sinularin,DK-MG
NU7441,MFH-ino
PLX-4720,RPMI-8866
AZD3759,TT
Dabrafenib,YAPC
GSK2578215A,JVM-3
Olaparib,LAN-6
Lapatinib,NCI-H1944
Cisplatin,OACp4C
PRT062607,DoTc2-4510
BMS-345541,U-118-MG
GW441756,no-11
Olaparib,NCI-H1993
alpha-lipoic acid,CAL-85-1
Wee1 Inhibitor,SK-GT-4
MIRA-1,SU-DHL-5
Buparlisib,KMS-11
SCH772984,RKO
Dihydrorotenone,LC4-1
SB590885,SUP-B8
VE821,L-363
Cediranib,TOV-112D
Cediranib,SK-LU-1
SB590885,PC-3_[JPC-3]
Tanespimycin,RL95-2
Bromosporine,SW1088
Cisplatin,NCI-H82
UNC0638,RCC10RGB
AZD3759,ES-2
Schweinfurthin A,CAL-72
Trametinib,COR-L279
NU7441,PA-TU-8902
CCT-018159,RCC-MF
SCH772984,NCI-H1869
Dabrafenib,TC-YIK
Selumetinib_1062,GDM-1
Mycophenolic acid,RERF-LC-Sq1
Uprosertib_2106,CAL-33
GSK2578215A,HCC-366
PLX-4720,U-87-MG
Afatinib,BL-41
NVP-ADW742,MDST8
PFI-1,KYSE-520
Gemcitabine,LB2518-MEL
AZD7762,NCI-H1915
UNC0638,RKO
Afatinib,GOTO
PLX-4720,NCI-H1755
Bleomycin (50 uM),DBTRG-05MG
Bleomycin (50 uM),BHT-101
BMS-536924,OVCAR-5
XAV939,KYSE-50
Bleomycin (50 uM),COLO-205
alpha-lipoic acid,SK-LMS-1
Niraparib,MHH-PREB-1
Telomerase Inhibitor IX,SNU-175
IAP_5620,FTC-133
SB590885,A253
KU-55933,Farage
Axitinib,HDLM-2
KU-55933,SK-N-FI
AZD5363,CP66-MEL
Cytarabine,NCI-H2009
Sinularin,CHP-134
GSK591,U251
ABT737,RH-1
Entinostat,RPMI-8866
Vismodegib,NCI-H2066
Cediranib,EW-16
Buparlisib,ES7
MK-8776,NCI-H748
Axitinib,SAS
Wee1 Inhibitor,NB5
AZD6738,NCI-H2196
AMG-319,COLO-824
GW441756,CHP-212
Uprosertib_1553,SK-MEL-30
AGI-5198,ST486
N-acetyl cysteine,NCI-H1755
Afatinib,SW1088
NVP-ADW742,SW982
Talazoparib,COLO-684
Vismodegib,CL-11
OTX015,U-87-MG
NVP-ADW742,NCI-H2141
BMS-345541,UACC-893
AMG-319,LU-65
Topotecan,GAMG
ML323,SIMA
Uprosertib_2106,NB12
Lapatinib,GP5d
BI-2536,NCI-H2347
MK-8776,SK-N-SH
Tamoxifen,GB-1
LCL161,LAN-6
Sinularin,A101D
KU-55933,PANC-03-27
Talazoparib,NCI-H647
ML323,NCI-H1666
Nelarabine,CPC-N
Tamoxifen,ALL-PO
WIKI4,MHH-PREB-1
GW441756,COLO-205
Olaparib,SNU-175
Topotecan,SAT
AZD7762,RL95-2
Nilotinib,IMR-5
Cisplatin,PC-3_[JPC-3]
Pyridostatin,RCH-ACV
SB590885,SW1710
SB590885,NCI-H82
Uprosertib_1553,OPM-2
GSK591,SISO
Bromosporine,CHSA8926
Cytarabine,WM278
Niraparib,CHP-134
GSK269962A,ML-1
PLX-4720,SUIT-2
Gallibiscoquinazole,IA-LM
Wee1 Inhibitor,KMRC-1
PAK_5339,PA-TU-8902
GSK-LSD1,AM-38
Cytarabine,CAL-33
AZD5363,TE-441-T
LGK974,MEL-HO
BMS-536924,LB647-SCLC
UNC0638,DoTc2-4510
UNC0379,HO-1-u-1
Sorafenib,JIMT-1
AZD5991,RCC10RGB
GSK2578215A,MHH-PREB-1
Cytarabine,ASH-3
GSK2578215A,TE-10
Lapatinib,NCI-H835
AT13148,NCI-H69
PAK_5339,MKN1
Buparlisib,NCI-H2196
Gemcitabine,MKN1
PAK_5339,769-P
Uprosertib_1553,TC-71
VE821,EW-18
Vismodegib,SCC-4
AZD7762,NCI-H2030
KU-55933,RPMI-8226
AMG-319,A3-KAW
Cyclophosphamide,DoTc2-4510
SB590885,PANC-08-13
SCH772984,MOLT-4
Gallibiscoquinazole,CS1
alpha-lipoic acid,TE-6
NU7441,SW626
LGK974,MKN1
Irinotecan,RH-41
GSK-LSD1,MOLT-4
Selumetinib_1736,SIMA
UNC0638,NCI-H2009
VE821,Calu-6
I-BET-762,VAL
GSK591,SW962
Wee1 Inhibitor,CL-11
VE821,RCC-MF
Dabrafenib,HCC1937
NU7441,ES1
Bleomycin (50 uM),VAL
AMG-319,SK-LU-1
Dihydrorotenone,OAW-42
AZD2014,BFTC-905
Remodelin,OCI-M1
SB590885,BHT-101
ML323,COR-L321
NU7441,IMR-5
OTX015,D-502MG
BMS-536924,MEL-HO
Selumetinib_1062,LC4-1
Nilotinib,NCI-H727
VE821,SW962
Cytarabine,RL95-2
WEHI-539,BFTC-905
LJI308,TGW
GSK2578215A,AMO-1
BMS-345541,RERF-LC-Sq1
Dactolisib,DU-145
PRT062607,GAK
Selumetinib_1062,AMO-1
AZD1208,HPAC
Gallibiscoquinazole,SW1271
I-BET-762,COR-L311
GSK1904529A,FTC-133
Cisplatin,NCI-H2228
BMS-345541,OE33
Lapatinib,NCI-H2135
Olaparib,CHP-134
ML323,RCC-MF
NVP-ADW742,EW-18
LCL161,JHOS-4
Selumetinib_1736,SUP-T1
GSK591,NCI-H2052
Mycophenolic acid,ES7
MIRA-1,EKVX
BEN,RPMI-8226
KU-55933,SAS
UMI-77,IMR-5
AZD1208,KU812
Entospletinib,MDA-MB-415
AZD6738,ES-2
UNC0379,CAL-85-1
Dabrafenib,SF126
NVP-ADW742,ES7
Cyclophosphamide,NKM-1
AGI-5198,NCI-H2110
WIKI4,KY821
XAV939,NB69
ZM447439,EW-11
MN-64,SK-MEL-28
PD0325901,MDA-MB-468
MN-64,SK-MM-2
AZD8055,SK-N-FI
GSK1904529A,SW1710
Wee1 Inhibitor,YH-13
Dihydrorotenone,AU565
UNC0379,HCC1428
Gemcitabine,MDA-MB-415
Niraparib,PANC-08-13
Cyclophosphamide,MOLP-8
UMI-77,FU97
Wnt-C59,EMC-BAC-2
Sinularin,UACC-257
5-azacytidine,EW-16
CZC24832,CAL-33
Nilotinib,ALL-PO
Bleomycin (50 uM),NCI-H1793
SN-38,LB2518-MEL
Niraparib,HCC1428
WEHI-539,COR-L321
SB216763,MSTO-211H
MN-64,NCI-H647
Olaparib,VCaP
AZD2014,KYSE-50
Cisplatin,NCI-H322M
NVP-ADW742,SCC-15
ZM447439,SK-GT-4
Axitinib,NCI-H835
MIRA-1,HLE
UMI-77,PEO1
ABT737,HO-1-u-1
NU7441,UACC-62
Pevonedistat,KYSE-220
AZD3759,COLO-824
AGI-5198,NALM-6
AZD5991,SW1710
BMS-345541,WM278
Uprosertib_1553,A172
AGI-5198,NCI-H720
AT13148,COLO-320-HSR
Afatinib,RH-1
UNC0379,AN3-CA
LJI308,RCC-FG2
VE821,MIA-PaCa-2
AT13148,ES1
Wnt-C59,TGBC24TKB
I-BET-762,BPH-1
GSK2578215A,PCI-30
PRT062607,AMO-1
UNC0638,KU812
5-azacytidine,NCI-H727
Trametinib,PA-TU-8902
Vismodegib,EW-11
ABT737,KP-4
Sinularin,JIMT-1
BEN,Hs-445
Uprosertib_1553,Hs-683
PLX-4720,HLE
Gemcitabine,COR-L88
Tamoxifen,SBC-5
Ulixertinib_1908,NCI-H2023
Entospletinib,RT4
Entinostat,OAW-42
GSK2578215A,HLE
AMG-319,NCI-H1105
Mycophenolic acid,SNU-449
WIKI4,MDA-MB-468
XAV939,G-361
PAK_5339,MDA-MB-361
Telomerase Inhibitor IX,OE33
Gallibiscoquinazole,PSN1
GSK-LSD1,SKM-1
Cyclophosphamide,EMC-BAC-2
Axitinib,NCI-H716
BMS-345541,A3-KAW
WEHI-539,KP-3
5-azacytidine,SK-N-AS
Afatinib,UM-UC-3
Topotecan,NCI-H2029
Trametinib,SU-DHL-10
GSK1904529A,NCI-H2030
ZM447439,SW156
GSK1904529A,NB5
Uprosertib_1553,PE-CA-PJ15
Bleomycin,WM278
AZD5363,COR-L88
AGI-5198,SW982
PD0325901,PANC-08-13
